identifier	2jam_consensus	2qfa_consensus	3e7o_consensus	3elj_consensus	3npc_consensus	3sx0_consensus	4agl_consensus	4x21_consensus	5l4q_consensus	6e43_consensus	6q9y_consensus	6s1j_consensus	2jam_LeDock	2jam_Smina	2jam_Vina	2qfa_LeDock	2qfa_Smina	2qfa_Vina	3e7o_LeDock	3e7o_Smina	3e7o_Vina	3elj_LeDock	3elj_Smina	3elj_Vina	3npc_LeDock	3npc_Smina	3npc_Vina	3sx0_LeDock	3sx0_Smina	3sx0_Vina	4agl_LeDock	4agl_Smina	4agl_Vina	4x21_LeDock	4x21_Smina	4x21_Vina	5l4q_LeDock	5l4q_Smina	5l4q_Vina	6e43_LeDock	6e43_Smina	6e43_Vina	6q9y_LeDock	6q9y_Smina	6q9y_Vina	6s1j_LeDock	6s1j_Smina	6s1j_Vina
6q9y_consensus	0.54	0.6	0.44	0.48	0.58	0.54	0.48	0.52	0.52	0.56	1.0	0.44	0.32	0.42	0.44	0.54	0.44	0.48	0.38	0.38	0.46	0.38	0.42	0.38	0.46	0.48	0.5	0.44	0.56	0.48	0.52	0.42	0.42	0.42	0.4	0.4	0.4	0.44	0.5	0.36	0.4	0.46	0.68	0.72	0.74	0.36	0.38	0.44
6s1j_consensus	0.6	0.46	0.68	0.58	0.58	0.44	0.58	0.7	0.54	0.54	0.44	1.0	0.34	0.62	0.6	0.34	0.42	0.4	0.48	0.64	0.66	0.4	0.7	0.66	0.3	0.54	0.58	0.4	0.5	0.44	0.42	0.5	0.48	0.38	0.6	0.6	0.38	0.58	0.62	0.32	0.46	0.48	0.44	0.36	0.4	0.52	0.74	0.8
2jam_LeDock	0.46	0.34	0.36	0.42	0.32	0.38	0.4	0.36	0.38	0.32	0.32	0.34	1.0	0.34	0.26	0.4	0.28	0.24	0.52	0.26	0.24	0.62	0.3	0.26	0.36	0.22	0.18	0.44	0.34	0.3	0.44	0.32	0.28	0.6	0.18	0.16	0.58	0.28	0.26	0.36	0.2	0.22	0.4	0.16	0.2	0.5	0.24	0.24
2jam_Smina	0.8	0.5	0.58	0.56	0.54	0.46	0.58	0.66	0.48	0.54	0.42	0.62	0.34	1.0	0.84	0.32	0.56	0.46	0.34	0.54	0.62	0.36	0.6	0.58	0.24	0.56	0.56	0.32	0.48	0.44	0.32	0.54	0.52	0.34	0.64	0.64	0.28	0.58	0.56	0.22	0.54	0.54	0.3	0.34	0.38	0.34	0.66	0.6
2jam_Vina	0.74	0.46	0.56	0.52	0.58	0.46	0.5	0.58	0.44	0.54	0.44	0.6	0.26	0.84	1.0	0.3	0.52	0.46	0.3	0.54	0.62	0.3	0.6	0.6	0.24	0.58	0.58	0.3	0.48	0.42	0.3	0.48	0.5	0.3	0.6	0.64	0.2	0.52	0.54	0.22	0.5	0.5	0.3	0.34	0.38	0.28	0.64	0.62
2qfa_LeDock	0.44	0.66	0.34	0.36	0.46	0.48	0.42	0.42	0.38	0.46	0.54	0.34	0.4	0.32	0.3	1.0	0.38	0.38	0.5	0.24	0.3	0.46	0.32	0.28	0.52	0.28	0.28	0.54	0.38	0.34	0.6	0.28	0.3	0.5	0.24	0.24	0.48	0.32	0.32	0.46	0.26	0.28	0.62	0.4	0.42	0.52	0.24	0.3
2qfa_Smina	0.58	0.66	0.42	0.46	0.5	0.56	0.5	0.52	0.5	0.54	0.44	0.42	0.28	0.56	0.52	0.38	1.0	0.8	0.28	0.36	0.4	0.34	0.36	0.32	0.3	0.5	0.48	0.38	0.56	0.58	0.42	0.48	0.46	0.32	0.46	0.46	0.32	0.48	0.5	0.32	0.46	0.5	0.34	0.36	0.42	0.36	0.4	0.4
2qfa_Vina	0.48	0.62	0.4	0.42	0.54	0.54	0.46	0.52	0.48	0.5	0.48	0.4	0.24	0.46	0.46	0.38	0.8	1.0	0.3	0.36	0.38	0.34	0.34	0.32	0.3	0.54	0.5	0.38	0.58	0.56	0.38	0.44	0.44	0.3	0.44	0.44	0.32	0.5	0.52	0.28	0.4	0.44	0.38	0.42	0.46	0.36	0.38	0.38
3e7o_LeDock	0.44	0.38	0.5	0.48	0.4	0.38	0.46	0.5	0.48	0.42	0.38	0.48	0.52	0.34	0.3	0.5	0.28	0.3	1.0	0.38	0.4	0.52	0.44	0.42	0.44	0.32	0.32	0.46	0.34	0.3	0.5	0.38	0.36	0.64	0.32	0.32	0.6	0.36	0.36	0.44	0.24	0.26	0.44	0.22	0.26	0.5	0.36	0.36
3e7o_Smina	0.52	0.38	0.82	0.54	0.48	0.42	0.54	0.7	0.56	0.52	0.38	0.64	0.26	0.54	0.54	0.24	0.36	0.36	0.38	1.0	0.82	0.28	0.62	0.64	0.18	0.62	0.64	0.36	0.44	0.42	0.28	0.6	0.52	0.28	0.7	0.7	0.3	0.62	0.62	0.24	0.58	0.54	0.32	0.34	0.36	0.34	0.7	0.68
3e7o_Vina	0.58	0.46	0.82	0.58	0.48	0.46	0.5	0.7	0.52	0.56	0.46	0.66	0.24	0.62	0.62	0.3	0.4	0.38	0.4	0.82	1.0	0.28	0.66	0.66	0.2	0.62	0.64	0.36	0.5	0.44	0.3	0.52	0.52	0.28	0.74	0.74	0.28	0.58	0.6	0.26	0.56	0.56	0.36	0.4	0.44	0.32	0.7	0.74
3elj_LeDock	0.48	0.38	0.4	0.6	0.4	0.42	0.4	0.4	0.44	0.32	0.38	0.4	0.62	0.36	0.3	0.46	0.34	0.34	0.52	0.28	0.28	1.0	0.4	0.36	0.42	0.26	0.22	0.48	0.38	0.32	0.48	0.3	0.24	0.56	0.24	0.22	0.58	0.3	0.32	0.42	0.16	0.18	0.46	0.22	0.26	0.54	0.24	0.28
3elj_Smina	0.58	0.36	0.62	0.78	0.52	0.44	0.5	0.62	0.56	0.56	0.42	0.7	0.3	0.6	0.6	0.32	0.36	0.34	0.44	0.62	0.66	0.4	1.0	0.94	0.28	0.56	0.56	0.36	0.5	0.44	0.32	0.46	0.4	0.3	0.62	0.58	0.36	0.6	0.54	0.34	0.48	0.48	0.38	0.36	0.4	0.42	0.64	0.64
3elj_Vina	0.54	0.34	0.62	0.76	0.5	0.4	0.46	0.58	0.54	0.52	0.38	0.66	0.26	0.58	0.6	0.28	0.32	0.32	0.42	0.64	0.66	0.36	0.94	1.0	0.24	0.56	0.58	0.32	0.48	0.42	0.28	0.44	0.38	0.26	0.6	0.58	0.32	0.58	0.52	0.3	0.48	0.46	0.34	0.34	0.38	0.38	0.64	0.64
3npc_LeDock	0.34	0.4	0.24	0.3	0.5	0.34	0.42	0.34	0.32	0.36	0.46	0.3	0.36	0.24	0.24	0.52	0.3	0.3	0.44	0.18	0.2	0.42	0.28	0.24	1.0	0.26	0.28	0.4	0.32	0.28	0.54	0.28	0.28	0.5	0.2	0.22	0.4	0.26	0.28	0.42	0.24	0.26	0.5	0.34	0.36	0.42	0.2	0.22
3npc_Smina	0.54	0.42	0.58	0.5	0.72	0.48	0.48	0.58	0.5	0.56	0.48	0.54	0.22	0.56	0.58	0.28	0.5	0.54	0.32	0.62	0.62	0.26	0.56	0.56	0.26	1.0	0.88	0.34	0.56	0.52	0.26	0.56	0.54	0.28	0.62	0.62	0.26	0.64	0.62	0.3	0.66	0.64	0.34	0.48	0.52	0.34	0.6	0.58
3npc_Vina	0.52	0.44	0.6	0.52	0.7	0.44	0.52	0.58	0.5	0.56	0.5	0.58	0.18	0.56	0.58	0.28	0.48	0.5	0.32	0.64	0.64	0.22	0.56	0.58	0.28	0.88	1.0	0.3	0.54	0.52	0.28	0.58	0.56	0.28	0.68	0.68	0.26	0.64	0.64	0.26	0.7	0.66	0.34	0.5	0.54	0.36	0.64	0.62
3sx0_LeDock	0.44	0.46	0.44	0.44	0.42	0.66	0.42	0.44	0.4	0.46	0.44	0.4	0.44	0.32	0.3	0.54	0.38	0.38	0.46	0.36	0.36	0.48	0.36	0.32	0.4	0.34	0.3	1.0	0.52	0.48	0.48	0.32	0.32	0.44	0.26	0.26	0.42	0.32	0.32	0.42	0.24	0.26	0.54	0.3	0.32	0.52	0.32	0.36
3sx0_Smina	0.52	0.5	0.5	0.54	0.54	0.78	0.48	0.48	0.5	0.54	0.56	0.5	0.34	0.48	0.48	0.38	0.56	0.58	0.34	0.44	0.5	0.38	0.5	0.48	0.32	0.56	0.54	0.52	1.0	0.86	0.42	0.48	0.48	0.34	0.4	0.4	0.38	0.52	0.54	0.32	0.42	0.48	0.44	0.5	0.54	0.42	0.42	0.46
3sx0_Vina	0.46	0.46	0.44	0.48	0.48	0.78	0.44	0.46	0.52	0.46	0.48	0.44	0.3	0.44	0.42	0.34	0.58	0.56	0.3	0.42	0.44	0.32	0.44	0.42	0.28	0.52	0.52	0.48	0.86	1.0	0.38	0.5	0.44	0.32	0.4	0.4	0.34	0.48	0.54	0.24	0.38	0.42	0.36	0.38	0.42	0.42	0.4	0.42
4agl_LeDock	0.42	0.5	0.4	0.4	0.46	0.44	0.56	0.4	0.48	0.42	0.52	0.42	0.44	0.32	0.3	0.6	0.42	0.38	0.5	0.28	0.3	0.48	0.32	0.28	0.54	0.26	0.28	0.48	0.42	0.38	1.0	0.36	0.34	0.54	0.22	0.24	0.56	0.32	0.36	0.38	0.26	0.28	0.52	0.38	0.4	0.52	0.28	0.32
4agl_Smina	0.56	0.46	0.58	0.44	0.5	0.46	0.7	0.64	0.52	0.56	0.42	0.5	0.32	0.54	0.48	0.28	0.48	0.44	0.38	0.6	0.52	0.3	0.46	0.44	0.28	0.56	0.58	0.32	0.48	0.5	0.36	1.0	0.8	0.34	0.56	0.54	0.38	0.56	0.58	0.24	0.5	0.52	0.3	0.32	0.34	0.4	0.56	0.52
4agl_Vina	0.54	0.48	0.54	0.38	0.5	0.46	0.68	0.56	0.42	0.56	0.42	0.48	0.28	0.52	0.5	0.3	0.46	0.44	0.36	0.52	0.52	0.24	0.4	0.38	0.28	0.54	0.56	0.32	0.48	0.44	0.34	0.8	1.0	0.28	0.5	0.5	0.32	0.5	0.5	0.26	0.48	0.52	0.3	0.36	0.4	0.34	0.52	0.5
4x21_LeDock	0.44	0.38	0.4	0.36	0.48	0.4	0.46	0.5	0.42	0.36	0.42	0.38	0.6	0.34	0.3	0.5	0.32	0.3	0.64	0.28	0.28	0.56	0.3	0.26	0.5	0.28	0.28	0.44	0.34	0.32	0.54	0.34	0.28	1.0	0.26	0.24	0.62	0.32	0.34	0.4	0.26	0.28	0.48	0.26	0.3	0.54	0.26	0.26
4x21_Smina	0.6	0.4	0.64	0.5	0.54	0.34	0.48	0.7	0.5	0.54	0.4	0.6	0.18	0.64	0.6	0.24	0.46	0.44	0.32	0.7	0.74	0.24	0.62	0.6	0.2	0.62	0.68	0.26	0.4	0.4	0.22	0.56	0.5	0.26	1.0	0.92	0.22	0.62	0.6	0.22	0.64	0.62	0.28	0.36	0.4	0.3	0.68	0.68
4x21_Vina	0.58	0.4	0.64	0.46	0.54	0.36	0.48	0.7	0.52	0.54	0.4	0.6	0.16	0.64	0.64	0.24	0.46	0.44	0.32	0.7	0.74	0.22	0.58	0.58	0.22	0.62	0.68	0.26	0.4	0.4	0.24	0.54	0.5	0.24	0.92	1.0	0.18	0.6	0.64	0.22	0.62	0.6	0.24	0.36	0.38	0.28	0.72	0.72
5l4q_LeDock	0.38	0.4	0.42	0.48	0.4	0.38	0.48	0.4	0.52	0.32	0.4	0.38	0.58	0.28	0.2	0.48	0.32	0.32	0.6	0.3	0.28	0.58	0.36	0.32	0.4	0.26	0.26	0.42	0.38	0.34	0.56	0.38	0.32	0.62	0.22	0.18	1.0	0.34	0.32	0.4	0.24	0.26	0.48	0.28	0.3	0.56	0.22	0.26
5l4q_Smina	0.52	0.46	0.62	0.54	0.56	0.4	0.52	0.58	0.74	0.56	0.44	0.58	0.28	0.58	0.52	0.32	0.48	0.5	0.36	0.62	0.58	0.3	0.6	0.58	0.26	0.64	0.64	0.32	0.52	0.48	0.32	0.56	0.5	0.32	0.62	0.6	0.34	1.0	0.82	0.3	0.58	0.58	0.36	0.44	0.48	0.38	0.56	0.56
5l4q_Vina	0.54	0.48	0.66	0.54	0.58	0.46	0.56	0.6	0.72	0.56	0.5	0.62	0.26	0.56	0.54	0.32	0.5	0.52	0.36	0.62	0.6	0.32	0.54	0.52	0.28	0.62	0.64	0.32	0.54	0.54	0.36	0.58	0.5	0.34	0.6	0.64	0.32	0.82	1.0	0.3	0.58	0.56	0.38	0.42	0.44	0.4	0.64	0.64
6e43_LeDock	0.32	0.36	0.32	0.36	0.4	0.32	0.34	0.3	0.34	0.46	0.36	0.32	0.36	0.22	0.22	0.46	0.32	0.28	0.44	0.24	0.26	0.42	0.34	0.3	0.42	0.3	0.26	0.42	0.32	0.24	0.38	0.24	0.26	0.4	0.22	0.22	0.4	0.3	0.3	1.0	0.18	0.22	0.52	0.28	0.28	0.42	0.26	0.22
6e43_Smina	0.5	0.38	0.5	0.38	0.58	0.34	0.48	0.52	0.44	0.6	0.4	0.46	0.2	0.54	0.5	0.26	0.46	0.4	0.24	0.58	0.56	0.16	0.48	0.48	0.24	0.66	0.7	0.24	0.42	0.38	0.26	0.5	0.48	0.26	0.64	0.62	0.24	0.58	0.58	0.18	1.0	0.92	0.3	0.42	0.44	0.3	0.58	0.54
6e43_Vina	0.54	0.4	0.5	0.4	0.6	0.36	0.5	0.54	0.44	0.66	0.46	0.48	0.22	0.54	0.5	0.28	0.5	0.44	0.26	0.54	0.56	0.18	0.48	0.46	0.26	0.64	0.66	0.26	0.48	0.42	0.28	0.52	0.52	0.28	0.62	0.6	0.26	0.58	0.56	0.22	0.92	1.0	0.34	0.42	0.44	0.32	0.56	0.54
6q9y_LeDock	0.4	0.54	0.36	0.42	0.52	0.46	0.42	0.42	0.44	0.48	0.68	0.44	0.4	0.3	0.3	0.62	0.34	0.38	0.44	0.32	0.36	0.46	0.38	0.34	0.5	0.34	0.34	0.54	0.44	0.36	0.52	0.3	0.3	0.48	0.28	0.24	0.48	0.36	0.38	0.52	0.3	0.34	1.0	0.48	0.52	0.52	0.3	0.32
6q9y_Smina	0.38	0.52	0.38	0.32	0.54	0.42	0.36	0.4	0.4	0.48	0.72	0.36	0.16	0.34	0.34	0.4	0.36	0.42	0.22	0.34	0.4	0.22	0.36	0.34	0.34	0.48	0.5	0.3	0.5	0.38	0.38	0.32	0.36	0.26	0.36	0.36	0.28	0.44	0.42	0.28	0.42	0.42	0.48	1.0	0.88	0.26	0.38	0.38
6q9y_Vina	0.44	0.54	0.4	0.38	0.6	0.44	0.42	0.46	0.42	0.52	0.74	0.4	0.2	0.38	0.38	0.42	0.42	0.46	0.26	0.36	0.44	0.26	0.4	0.38	0.36	0.52	0.54	0.32	0.54	0.42	0.4	0.34	0.4	0.3	0.4	0.38	0.3	0.48	0.44	0.28	0.44	0.44	0.52	0.88	1.0	0.28	0.4	0.42
6s1j_LeDock	0.42	0.42	0.4	0.46	0.5	0.46	0.48	0.44	0.48	0.42	0.36	0.52	0.5	0.34	0.28	0.52	0.36	0.36	0.5	0.34	0.32	0.54	0.42	0.38	0.42	0.34	0.36	0.52	0.42	0.42	0.52	0.4	0.34	0.54	0.3	0.28	0.56	0.38	0.4	0.42	0.3	0.32	0.52	0.26	0.28	1.0	0.36	0.34
6s1j_Smina	0.58	0.42	0.66	0.5	0.52	0.4	0.56	0.64	0.46	0.58	0.38	0.74	0.24	0.66	0.64	0.24	0.4	0.38	0.36	0.7	0.7	0.24	0.64	0.64	0.2	0.6	0.64	0.32	0.42	0.4	0.28	0.56	0.52	0.26	0.68	0.72	0.22	0.56	0.64	0.26	0.58	0.56	0.3	0.38	0.4	0.36	1.0	0.86
6s1j_Vina	0.58	0.46	0.68	0.52	0.5	0.42	0.52	0.66	0.48	0.54	0.44	0.8	0.24	0.6	0.62	0.3	0.4	0.38	0.36	0.68	0.74	0.28	0.64	0.64	0.22	0.58	0.62	0.36	0.46	0.42	0.32	0.52	0.5	0.26	0.68	0.72	0.26	0.56	0.64	0.22	0.54	0.54	0.32	0.38	0.42	0.34	0.86	1.0
